stars,date,review,sentiment_label,review_length
5.0,2026-07-27,아이 읽 선물 감사,1,22
5.0,2026-07-26,아이 읽 담 선물 감사,1,26
5.0,2026-07-20,딸아이 방학 때 읽 하,1,15
5.0,2026-07-20,다량 구매 착오 배송 되,1,26
5.0,2026-07-17,아이 핫하 책,1,14
3.75,2026-07-14,좋 책 보 읽히,0,19
5.0,2026-07-11,보 힐링 감동 남 추천,1,23
3.75,2026-07-05,,0,10
5.0,2026-06-18,좋 어른 되 생각 들 되 책 사장 같 사람 되 있,1,58
5.0,2026-06-13,기대 되,1,14
5.0,2026-06-09,바쁘 사회생활 속 힐링 시간 가지 있,1,30
5.0,2026-06-09,내용 재밌 힐링,1,13
5.0,2026-06-01,고등 수행 준비 사,1,12
5.0,2026-06-01,지인 추천 주문 읽 재미 있 지인 추천 재미있 읽,1,51
3.75,2026-05-30,책 표지 생각 예쁘,0,23
5.0,2026-05-16,아이 읽 구매,1,16
5.0,2026-05-16,아이 읽 구매,1,16
5.0,2026-05-09,생각 재미있,1,16
5.0,2026-05-08,내용 좋 선물 최고,1,23
5.0,2026-05-02,설정 불편 편의점 벌어지 인간 감정 대립 인하 갈등 좌절 극복 해피엔딩 끝나 사실 같 픽션,1,75
5.0,2026-04-01,오랜만 책 구입 읽 읽히 술 마시 읽 최고,1,46
5.0,2026-03-28,드림 주문 책 찾 가 아내 책 보 하 구매 표지 디자인 예쁘,1,61
5.0,2026-03-09,학교 수업 교재 사,1,13
5.0,2026-03-07,친구 추천 구매 책 좋,1,22
5.0,2026-02-26,재밌 읽,1,11
5.0,2026-02-25,불편 편의점 소설 내용 끝 읽 알 있 내용 제목 자체 호기심 생기 구입 생각 흡입력 좋 빨리 들어가,1,95
5.0,2026-02-21,오랜만 읽 다음번 읽 하,1,31
5.0,2026-02-14,읽히 재미있,1,16
5.0,2026-02-11,선물 구매 좋아하 기쁘 나중 읽,1,63
5.0,2026-02-02,아이 좋아하 지금 읽,1,25
5.0,2026-02-02,옥수수 수염 차 맛있 마시,1,17
5.0,2026-02-01,얼마 소설 읽 솟구치 감정 눈시울 붉히 모르 마디 리뷰 결국 인연 인연 살아가 인생 담 대화 부딪히 이해 공감 헤치 있 시간 개인 비극 좋아하 꼬이 실타래 풀어지 해피엔딩 좋아하 알 되 문제 해결 통하 사람 사람 신뢰 사랑 과정 카타르시스 느끼 자신 확인 있 시간 대립 분쟁 싫어하 사랑 테니스 클럽 쪼개 때 가 모두 떠나 동업 깨지 때 중재 이후 보 사 택하 독서 하 마음 공부 하 좋 점 자신 이해 일 전 세상 알 사업 성장 있 가정 인간관계 해내 있 자신 이해 위하 평생 바치 인생 생각 강하 스스로 알 자연 타인 삶 인정 되 독서 습관 들이 시작 독서 모임 크 깨달음 감사 감사,1,663
5.0,2026-01-27,읽 입 꼬리 올라가 읽 계절 가슴 있 책 힐링,1,59
5.0,2026-01-05,선물 책 살펴보 마음 들 구매 동생 읽 재밌 하 읽,1,75
5.0,2026-01-03,선물 추가 구매,1,18
5.0,2025-12-28,도서관 빌리 보 구입,1,29
5.0,2025-12-15,편의점 친숙 소재 감동 책,1,24
5.0,2025-12-06,읽 아이 읽 하 구매,1,25
5.0,2025-12-06,이야기,1,13
5.0,2025-11-26,평소 소설책 읽 지인 추천 오랜만 읽 재밌 읽,1,47
3.75,2025-11-22,현세 가슴 내용,0,29
5.0,2025-11-15,감동 이야기,1,11
5.0,2025-11-12,마음,1,11
5.0,2025-11-06,아들 추천 독서 목록 있 주문 배송 빠르 좋,1,34
5.0,2025-11-02,표지 예쁘 소장 구매 내용 재밌 힐링 되,1,35
5.0,2025-10-29,각각 스토리 재밌 마지막 연출 재밌,1,31
5.0,2025-10-26,재밌 읽,1,11
5.0,2025-10-21,추천 구매 읽,1,18
5.0,2025-10-21,읽 책 생각 있 책,1,30
5.0,2025-09-25,재밌 칭찬 읽 구매,1,31
5.0,2025-09-19,자 전 기상 직후 스마트폰 책 읽 목표 하 읽히 목표 지키 있,1,66
5.0,2025-09-19,재밌 힐링 책 사,1,22
