stars,date,review
4.0,2026-07-27,"아이가 읽고싶어해서 선물했어요
감사합니다"
4.0,2026-07-26,"아이가 읽고싶다고 담아두어 선물했어요
감사합니다"
4.0,2026-07-20,딸아이 방학때 읽는다 하네요
4.0,2026-07-20,다량 구매하였는데도 착오없이 배송이 잘 되었어요
4.0,2026-07-17,아이들한테 핫한 책이에요.
3.0,2026-07-14,좋은책 잘 보고 있아요 잘 읽힙니다
4.0,2026-07-11,보고나면 힐링되고 감동이 오래남습니다 추천
3.0,2026-07-05,음.. 뭐 그냥 그런듯
4.0,2026-06-18,"좋은 어른이 되어야겠다는 생각이 한 번 더 들게 된 책
나는 누군가에게 사장님같은 사람이 될 수 있을까?"
4.0,2026-06-13,너무너무 기대가 됩니다🤗🤗
4.0,2026-06-09,바쁜 사회생활 속에 힐링되는 시간 가질 수 있었습니다.
4.0,2026-06-09,내용이 재밌고 힐링돼요!
4.0,2026-06-01,고등 수행준비로 샀어요
4.0,2026-06-01,지인께서 추천해서 주문해서 읽었는데 재미가 있어서다른지인께 추천했어요. 재미있게 읽었습니다.
3.0,2026-05-30,책 표지가 생각보다 꽤 예쁘고 두껍습니다ㅏ
4.0,2026-05-16,아이가 읽고싶어해서 구매했어요
4.0,2026-05-16,아이가 읽고싶어해서 구매했어요
4.0,2026-05-09,생각 보다 훨씬 더 재미있어요
4.0,2026-05-08,"내용이 너무 좋아서 선물했어요. 
최고입다."
4.0,2026-05-02,설정된 불편한 편의점에서 벌어지는 인간 감정의 미묘한 대립과 그로 인한 갈등과 좌절을 극복하며 해피엔딩으로 끝나는 사실 같은 픽션이다.
4.0,2026-04-24,
4.0,2026-04-01,"오랜만에 책 구입해서 읽는데
정말 술술 잘 읽힙니다.
술마시면서도 읽었네요.ㅋ 
최고"
4.0,2026-03-28,"바로드림으로 주문했던 책 찾으러 갔다가 아내가 이 책 보고싶다고 해서 구매했어요.
표지 디자인이 너무 예뻐요."
4.0,2026-03-09,학교 수업 교재로 샀어요
4.0,2026-03-07,친구의 추천으로 구매한 책인데 좋아요^^
4.0,2026-02-26,재밌게 잘 읽었습니다
4.0,2026-02-25,왜? 불편한 편의점인지는 소설 내용을 끝까지 읽어야 알 수 있는 내용입니다. 제목 자체가 호기심이 생겨서 구입했는데 생각보다 흡입력이 좋습니다. 금방 빨려 들어가실겁니다.
4.0,2026-02-21,오랜만에 다시 읽었습니다. 다음번엔 2부를 읽을까 해요.
4.0,2026-02-14,너무 잘 읽히고 재미있었어요.
4.0,2026-02-11,"선물용으로 구매했는데, 받으시는 분이 너무 좋아하셔서 저 또한 기쁘네요. 나중에 저도 읽어 보도록 하겠습니다 :)"
4.0,2026-02-02,아이가 너무 좋아해요.지금도 잘 읽고 있어요.
4.0,2026-02-02,옥수수 수염차 맛있게 마셨습니다
4.0,2026-02-01,"얼마만에 소설을 읽으며 순간순간 왈칵 솟구치는 감정때문에 눈시울을 붉혔는지 모르겠습니다.

한 마디로 리뷰한다면,

결국 인연과 인연으로 살아가는 인생



담아두지 말고 대화와 부딪힘으로 이해하고 공감하며 헤쳐나갈 수 있는 시간들



개인적으로 비극을 좋아하지 않습니다.

이렇듯 꼬여있던 실타래가 잘 풀어지는 해피엔딩을 좋아한다는 걸 다시 알게 됐고,

문제해결을 통한 사람과 사람간에 신뢰와 사랑이 더 견고해지는 과정에서 카타르시스를 느끼는 저 자신을 확인할 수 있는 시간이었습니다.



네, 그렇습니다.

저는 대립과 분쟁을 지극히 싫어합니다.

그래서 너무나 사랑했던 테니스클럽이 두 개로 쪼개졌을 때 어느 한 쪽으로도 가지 않고 스스로 모두를 떠나기도 했고, 동업이 깨질 때도 어떻게든 중재하여 이후로도 서로 보고 사는 쪽을 택했었죠.



독서를 하고 마음공부도 하면서 가장 좋은 점은,

나 자신을 더욱 잘 이해해나가는 일입니다.

그전에는 세상을 알고 싶었거든요. 그래서 사업도 더 성장시킬 수 있고, 가정도, 인간관계도 더 잘 해낼 수 있다고 믿었는데...

그냥 나 자신을 제대로 이해하기 위해 평생을 바쳐도 충분한 게 인생이란 생각이 더욱 강해집니다.



스스로를 알아가면 자연스럽게 타인의 삶을 인정하게 되더군요.



독서습관 들일려고 시작한 독서모임에서 이렇듯 큰 깨달음을 얻었습니다.



감사하고 감사합니다~"
4.0,2026-01-27,읽는 내내 입꼬리가 올라가며 읽었네요. 추운 계절에 가슴을 따뜻하게 해 줄 수 있는 책이라 힐링 됐습니다.
4.0,2026-01-05,선물하고싶어 여러책들 살펴보다가 마음에 들어 제가 구매했어요. 동생이 먼저 읽고있는중인데 재밌다고해요. 저도 어서빨리 읽어봐야겠어요^^
4.0,2026-01-03,선물하려고 2권 추가 구매합니다.
4.0,2025-12-28,도서관에서 빌려 봤다가 두고두고 보고싶어서 구입했어요!!
4.0,2025-12-15,편의점이라는 친숙한 소재에 감동을 더한 책.
4.0,2025-12-06,나는 읽었지만 아이가읽고  싶다고 해서 구매해요
4.0,2025-12-06,소소한 우리네들이 이야기
4.0,2025-11-26,평소 소설책은 잘읽지 않는데 지인추천으로 오랜만에 읽었습니다. 재밌어서 금방 읽엇네요
3.0,2025-11-22,뭔가 각박한 현세에 가슴 말캉말캉해지는 내용이었어요.
4.0,2025-11-15,감동적인 이야기에요.
4.0,2025-11-12,마음이 뭉클해는구만!
4.0,2025-11-06,"아들 추천 독서목록에 있어서 주문 했는데 
배송도 빠르고 좋아요"
4.0,2025-11-02,표지가 예뻐서 소장하려고 구매했습니다 내용도 재밌고 힐링 됩니다
4.0,2025-10-29,"각각의 스토리도 재밌었으나, 마지막의 연출이 재밌었어요."
4.0,2025-10-26,재밌게 잘 읽었습니다!!
4.0,2025-10-21,추천받아서 구매했어요 잘 읽을게요
4.0,2025-10-21,술술 읽어지는책 나를 다시한번 생각하고 바로잡을수있는책
4.0,2025-09-25,따스하고 재밌다는 칭찬이 자자해서 읽어보고자 구매했어요.
4.0,2025-09-19,"자기 전, 기상 직후 스마트폰보다 책 먼저 읽기를 목표로 하고 있는데 술술 잘 읽혀서 목표를 충실히 지킬 수 있었습니다"
4.0,2025-09-19,재밌어요! 힐링되는 책 2권도 사야겠어요
4.0,2025-09-18,기대가 되는 작품 입니다
4.0,2025-09-18,집중해서 잘 읽었습니다
4.0,2025-09-01,너무 재미있어 잘읽혀요.
4.0,2025-08-30,책 이미 읽었는데 학교에서 선정해서 읽어야해서 주문하네요. 아이들이 좋아하는 책이에요. 이젠 소장~~
4.0,2025-08-29,책너무 좋아요 추천
4.0,2025-08-27,"논술학원 교재로 구매했어요.2편도 사려구요
기대됩니다"
4.0,2025-08-10,재밌게 잘 읽었습니다
4.0,2025-08-03,지인에게 추천받아 구매했어요. 기대되요.
4.0,2025-08-01,독고씨가 노숙자에서 민간인으로 살아가는 과정인 담긴 내용인데 감동적인 부분이 담겨져 있어 슬픈 책이다.
4.0,2025-07-29,내용이 평이하고 좋았어요.
4.0,2025-07-24,"익숙한 공간 속에서 펼쳐지는 작지만 찬란한 이야기들.
누구에게나 하나쯤은 있는 사연을 다정하게 품어주는 소설이에요."
3.0,2025-07-06,잔잔하면서도 술술 읽히는 글에 막힘없이 계속 읽어나갔다 궁금증이 풀리면서 이야기가 합쳐지고 그 속에서 나에게도 삶이란 어떤것인가 생각하게하는 글이었다
4.0,2025-07-02,재밌어요 잘 읽었습니다.
4.0,2025-06-22,
4.0,2025-06-22,역시 유명한 소설답게 술술읽히는 재미와 감동이 있습니다
4.0,2025-06-19,단숨에 읽는다 문제 연속인 삶가운데 마음을 따뜻하게  해주는 책이다
4.0,2025-06-12,재미있다고 하여 구매했습니다. 잘 읽어볼게요
4.0,2025-05-27,매우 재미있게 읽었어요!!!
4.0,2025-05-19,읽고싶은책이였는데 술술 잘읽히고 좋았습니다.
4.0,2025-05-15,동생이 읽고 싶다고 해서 사준 책이다. 내 것이 아니니까 솔직히 나는 읽지 못했다. 표지에는 한국 최고의 힐링 소설이라고 적혀 있었다. 자신도 모르게 쌓이고 있던 일상의 스트레스를 이 소설을 읽는동안 조금씩 씻어내가면 좋겠다.
4.0,2025-05-12,책구성 깔끔하고 아주 도움이 되었습니다.
4.0,2025-05-12,첫 문장부터 몰입이 잘 됐어요.
4.0,2025-05-01,내용이 재밌고 공감합니다
4.0,2025-05-01,내용이 재밌고 공감되요
