date,rating,review
2026-07-20,10,"Absolut masterpiece! 10/10
Ein unvergleichliches und zeitloses Meisterwerk. Lieblingsfilm."
2026-07-19,10,My favorite space movie of all time providing extreme emotions and insane visuals in a story that will leave you speechless.
2026-07-19,10,"Hands down, my favorite Sci fi movie and it makes my Top 10 All time list. I can understand some of the critique the movie gets, but for me it doesnt matter. The cast, the story, the music, the end, so much elements of the film are 10/10. 

But you shouldnt watch it if you dont want to concentrate on it. The movie demands some attention. But its so worth!"
2026-06-17,10,A film you can watch again every year and it will still be just as captivating as the first time
2026-06-03,10,Es una muy buena película de ciencia ficcion astronomica con buenos efectos visuales
2026-06-03,10,peak.peak.peak.peak.peak.peak.peak.peak.peak.peak.peak.peak.peak.peak.peak.peak.peak.peak.peak.peak.peak.
2026-05-31,7,"Interstellar is an ambitious and visually stunning science-fiction film that explores themes of space exploration, time, and human survival on a grand scale. The film features impressive performances, breathtaking cinematography, and a memorable score that enhances its emotional impact. However, its complex narrative and lengthy runtime can occasionally make the story feel overly convoluted and uneven. While many of its ideas are fascinating, some emotional and scientific elements are not developed as effectively as they could have been. Despite its flaws, Interstellar remains an engaging and thought-provoking experience that stands out among modern sci-fi films."
2026-05-29,10,Muito bom um dos melhores filmes que eu já assisti principalmente a parte que a filha dele percebe que ele era o fantasma e naquela parte que ele cai no buraco negro
2026-05-29,9,"Watch this instead or after Hail Mary, please - regarding the message of the movie."
2026-05-15,8,This movie would flop if it came out today. Peoples attention spans today would be on life support after watching this. Three hours does mean this movie drags at some times but the visuals and the characters make this a movie that needs to be seen at least once.
2026-04-27,10,"Intestellar é simplesmente o apice do cinema, desde 2014 nunca vi um filme que conseguiu cehgar minimamente perto do que esse filme fez"
2026-04-23,10,Um dos melhores filmes que eu já vi tem um lá ótima estória e é um filme emocionante
2026-04-12,10,"Every time I watch this movie, my score differs between a 9 and 10. Either way, goddamn this movie gets me crying every single time. You could say it's slightly overlong, but by the end it always feels worth it from the pure impact it delivers. If you love space films, how can you not watch this?"
2026-04-11,6,"I found this film overrated. It's got a really long runtime and the plot can get very convoluted with sci-fi jargon and logic. I'm sure it all theoretically possible (Nolan is known for consulting with scientists for accuracy), it's just it doesn't make for a good plot or script. The CGI is very impressive as is the acting."
2026-04-11,10,"Interestelar (2014) 
Efectos especiales: 10
Actuaciones: 9.9
Escenografía: 10
Sonido: 9.7
Música: 10
Emoción/impacto: 10
Originalidad: 10
Inicio: 9
Desarrollo: 10
Conclusión: 10
Historia general: 9.3
Total: 9.8"
2026-04-07,10,"Interstellar is a breathtaking masterpiece that blends science, emotion, and philosophy into an unforgettable cinematic experience. Christopher Nolan crafts a visually stunning journey through space while grounding it in deeply human themes of love, sacrifice, and survival. The performances, especially Matthew McConaughey’s, are powerful and sincere. Hans Zimmer’s score elevates every moment, making the film both epic and intimate. A true 10/10 that stays with you long after it ends."
2026-03-25,10,"One of the best movies i ever saw in my life. Everyone should watch it. Everything is perfect; the story, the score etc."
2026-03-21,10,peak music and story it is so crazy !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
2026-03-17,10,"The movie that introduced me to Christopher Nolan, who became my favourite director instantly. Truly an eternal masterpiece."
2026-02-03,10,Interstellar is my second favorite movie of all time this movie is perfect in every single way and this movie should be seen in IMAX 70mm every single year. The scene where Cooper has to tell Murph that he has to go to the Wormhole/Blackhole is very touching and makes me almost cry every time I watch it. Then also the docking scene leaves me in goosebumps every time. That's why Interstellar is PERFECT!
2026-02-03,9,"Christopher Nolan never fails to disappoint, and so is the same with this motion picture. Echoing 2001: A Space Odyssey’s stunning visuals and transcending logic, Interstellar is a beautiful take on the relationship between a father and daughter. Including large-scale space shots and the haunting fear of time, Interstellar has the perfect balance of tension and emotionality."
2026-01-17,4,"Slick, but silly and overly sentimental. Directed by Christopher Nolan in Speilberg mode. Allusions to Kubrick but a Kubrick film it ain’t. Casting Matthew McConaughey was a mistake. Some good FX and visuals."
2026-01-16,10,Its the best movie i have seen in my life it changed my life so much and i wish i could erase my memories to see it again.
2026-01-03,8,"What a way to start 2026. Interstellar is good. I always thought this show was a real-life documentary of seeing the black hole, but damn, I was wrong. The combination of realism, theory, and fantasy is amazing. The parking scene, acting, and emotion deliverance are good. Some characters are not explored much, but it's okay. And then the ending, which is a bit disappointing, they could make it a good ending, but they cliffhang it. Whyyy? But overall the movie is fantastic, the music is spectacular. Hans Zimmer, amazing job."
2025-06-08,10,"One of christopher nolan's best films, if not his best. Mcconaughey and Hathaway are great."
2025-12-30,10,"I don’t think I’ve ever watched a nearly three-hour movie that made me forget time even existed — which is ironic, considering what this movie is about.Interstellar starts as a science-fiction film and slowly reveals itself to be something much deeper: a story about love, sacrifice, guilt, hope, and the painful distance between parents and children. The science is heavy, intimidating at times, and honestly confusing — but that’s the point. You’re not meant to “solve” the movie. You’re meant to feel it.What hit me the most wasn’t the black holes or the planets — it was the idea that love can persist across time, across space, across impossible odds. The reveal that Cooper was the “ghost” all along didn’t feel cheap; it felt inevitable, tragic, and perfect. Like everything that hurt had meaning. Murph being right all along, Amelia’s speech about love making sense after you understand the ending, and that final moment where a daughter releases her father back into the universe — it all lands with an emotional weight I wasn’t ready for.This movie doesn’t just entertain you. It trusts you. It asks you to sit with discomfort, uncertainty, and unanswered questions, then rewards you with something rare: emotional clarity. By the time it ended, I wasn’t thinking about logic or physics anymore. I was thinking about time, about parents, about promises, and about how we choose to keep going. I didn’t just like this **** changed how I feel about movies.10/10. Favorite movie of all time."
2025-12-26,10,"Apesar de ser longo o filme, as coisas vão acontecendo de uma forma bem acelerada.
Eles não querem te ensinar a teoria da relatividade e física quântica, mas empregam bem os termos e teorias. O apelo emocional também é, muito bom e relevante, o que faríamos para garantir o futuro dos nossos filhos.
No geral é uma obra de arte."
2025-12-16,7,"This film is too long even for its big ambitions, dragging at parts while others (especially the ending) feel rushed. This leaves me with the feeling of being cheated.
Here's a way the film could've been better. Kill off Cooper. Even getting close to a black hole pretty much means certain death as you would be spaghettified. It also would've made more sense because something seeming nearly impossible suddenly becoming the easiest thing since slicing bread.
Another way this could've been better is that they didn't rush the ending or extend the beginning. In the ending, we see Murph for one minute, and Ellen Burstyn delivers a great performance while Matthew McConaughey gives the stiffest performance since the filming of the Star Wars prequels, and only says a few things, and then the scene ends with a L cut or something like that. Then after we hear Murph's final wish to Cooper to go to Edmunds planet with Murph, the film pretty much ends. The beginning is filled with so much exposition that I didn't ask for, making us question whether this is a dystopian melodrama or a sci-fi adventure. It's filled with overly sentimental lines, too.
The rest I liked. The film tackles ambitious concepts of love, space, our place in the universe, and etc.
The visuals are the greatest I've seen since 2001: A Space Odyssey, and it looks similar as well. There is so much influence from 2001, that you could almost call the film a literal remake.
The music is overly sentimental, but to be honest, I liked it, too.
Overall, this film is both well-made and significantly flawed at the same time."
2025-12-11,7,"Good.

Interesting ideas and using some real science.

Still has film tropes adventure tropes though.  Some annoying bits but not too bad to spoil whole film.

Would recommend watching."
2025-11-28,10,"Perfect Story, perfect acting, perfect Movie i love it. One of the best ever taken!"
2025-11-24,9,"Amazing, completely brilliant. Christopher Nolan truly cannot miss (if you forget Tenet). It is very emotional, and is supported by an incredible story, utterly amazing visuals, great performances all around and a brilliant sense of passion and creativity."
