date,rating,review
2026-07-13,5,이태리국시 한남동 맛집으로 유명해서 초복 겸 반계마늘돌솥리조또🍗🍲랑 디저트로 인절미아이스크림🫘🍧 맛있게 잘 먹었습니다.😋👍🏻👍🏻🩷 직원 분들도 안내 친절하고 이태리국시 한남 💛카카오톡 채널💛 추가하면 식후에 소화를 돕는 달심효소 증정도 해주는 이벤트를 하네요.🤗✨ 더운 여름 몸보신용으로 반계마늘돌솥리조또 배부르고 푸짐하게 먹었고 무엇보다 구운 닭고기랑 리조또도 건강한 맛이어서 만족스러웠습니다.😍💕 감사합니다.😉🩷💕👍🏻 #이태리국시한남 #반계마늘돌솥리조또 #인절미아이스크림 #한남동맛집 #한강진역3번출구 #몸보신용음식 #초복닭고기음식 #내돈내산 #한남동이탈리아음식맛집 #🍗 #🍲 #🍧 #😋 #👍🏻
2026-07-25,5,메뉴가 다양하고 색다른 점이 너무 좋았습니다. 특히 한국인의 입맛을 저격하는 파스타. 리조또. 등 다양한 메뉴가 많네요 맛있게 먹고 갑니다 외국인분들도 드시면서 한국음식의 맛을 간접적으로 느낄 수 있지 않나 싶네요 다음에 와서 다른 메뉴도 시도해봐야겠습니다😙
2026-07-22,4,친구랑 동시에 여기다 ! 하고 온 한남동 맛집입니다! 늘 한남동에서 가던 집만 가다가 새로운 곳 도전해봤는데 메뉴도 정말 다채롭고 맛있는 것 같아요!! 친구랑 매번 뻔한 양식만 먹다가 새로운거 도전해보고 싶었는데 너무 만족합니다! 위치도 한남동 돌아다니다가 오기 딱 좋은 것 같아요!! 음식은 조금 시간이 걸리지만 그만큼 정성이 가득한것 같아용
2026-07-22,4,"아이랑 가서 대표메뉴인 한우대창 파스타는 못먹었지만, 주문한 메뉴도 맛있어서 다음에 다시와서 먹어보고 싶어졌어요. 반계리조토는 보기엔 뻔해보였는데 닭도 너무 맛있게 구워(?)져 있고 버터랑 마늘맛이 조화가 잘되어 있어서 기대보다 훨씬 맛있게 먹었어요.^^"
2026-07-05,5,"'숯불대창돌솥파스타'처럼 이름만 들어도 호기심을 자극하는 메뉴가 가득한 곳입니다. 단순히 신기한 조합에 그치지 않고, 한국인 입맛에 딱 맞춘 감칠맛과 완성도 높은 비주얼을 보여줍니다. ​한남동이나 이태원 근처에서 분위기 있으면서도 색다른 퓨전 요리로 기분 전환을 하고 싶을 때 강력히 추천하고 싶은 공간입니다. 만족스러운 한 끼였습니다!"
2026-07-22,5,양도 완전 많고 일단 곱창파스타 먹었는데 너무너머 맛있어요 국물이 레전드입니다 양도 많고 다들 양식땡기실때 무조건 일로오세요 피자도 완전 타코느낌으로 너무 맛있어요 둘이 이렇게 시켜서 드시면 완전 배불리 먹고 갑니당 디들 파스타 땡기시면 일로 오세용
2026-07-08,5,빠에야 맛있어요! 다 양이 생각보다 적지 않고 여자 둘이서 먹기 딱 좋음 양이에욤 전체적으로 익숙한 맛이라기보단 좀 색다른 느낌인데 분위기가 넘 좋아서 소개팅용으로도 추천드려요 근데 트러플감튀 진짜 마싯서요
2026-07-22,4,대표메뉴 불고기 피자와 한우돌솥파스타 먹었습니다~! 너무너무 맛있고 특히 피자가 깔끔한 맛이라 기억에 계속 남을 것 같아요! ☺️ 한남동에 다시 방문한다면 이태리 국시로 저녁먹으러 올 것 같아요~!🫶🏻
2026-06-30,5,오랜만에 만난 친구 부부랑 같이 만나는 자리라 전날 미리 예약하고 방문했어요! 바로 입장했구요 :) 아기 의자랑 자리 배려해주셔서 너무 좋았습니다. 맛있고 양도 많은데다가 분위기가 차분해서 너무 좋았어요 :) 특별한 외식이 필요한 날 추천하고 싶어요! 또 방문할께요~~~~~
2026-07-07,5,이태원에서 좀 특별한 거 먹어보고 싶어서 왔는데 흔하지 않은 퓨전 같아서 좋았어요 특히 한우곱창돌솥파스타 치즈향 많이 나고 슴슴한 듯 자극적이어서 맛있어요! 매장은 소개팅도 가능할 장소예요 깔끔하고 너무 좋았습니다 ㅎㅎ
2026-07-05,5,메뉴 3개 시켜서 먹었는데 다 맛있었어요!! 닭다리랑 마늘향나는 리조또 맛있었어용!!  한우곱창이랑 파스타랑 상상이 안갔는데 잘 어울리더라구요! 맛집으로 저장해놨다가 이번에 왔는데 한번쯤 와볼만한 것 같아요! 주말에는 웨이팅이 조금 있을 수 있어요! 외국인 친구들이랑 같이 오면 더 좋아할 것 같아요!
2026-07-05,5,가족들이랑 타 지역에서서 지하철타고 한남동 나들이 했습니다. 주변 맛집을 찾아보다가 대창 파스타에 꽂혀 들어왔습니다. 적당한 맵기에 초등 아이도 잘 먹었고 마늘향이 강하다는 리조또도 아이가 잘 먹었어요. 저희는 대체적으로 잘 먹었습니다!! 불고기 파스타도 맵기조절 가능해 아이가 잘 먹었네요.
2026-07-25,5,"음식 비주얼도 너무 예쁘고, 맛도 정말 좋았어요!🤍 특히 반계마늘돌솥리소토는 담백해서 끝까지 하나도 안 물리고 맛있었어요. 다만 마늘 향이 꽤 강해서 식사 후에 뽀뽀 스케줄 있으신 분들은 참고하세요🤣 대창 파스타도 적당히 매콤해서 맛있었고, 남자친구는 뇨끼랑 알배추가 제일 맛있었다고 하더라고요. 빠지는 메뉴 없이 다 맛있는 것 같아요!! 양도 푸짐했는데 너무 맛있어서 결국 싹싹 긁어먹고 나왔어요~ 완전 만족한 한 끼였습니다🤍"
2026-07-24,5,뜨끈뜨끈한 돌솥에 나오는 파스타랑 리조또 마지막까지 따뜻하게 맛있게 잘 먹었어요 이태리국시라는 이름처럼 이탈리안과 한식 퓨전 맛이 나네요 매콤한 대창 파스타랑 삼계리조또 속 든든하게 잘 먹었습니다
2026-07-14,5,"일반 이탈리안 메뉴가 아닌 한식과 퓨전 메뉴라고 해서 흥미로워서 방문해보았는데! 진짜 아는 맛인듯 아닌듯 맛있게 잘 먹었습니다. 매장 분위기도 예쁘고, 직원분들도 친절해서 즐거운 시간 보내고 왔어요 ㅎㅎ"
2026-06-24,5,"저번에 먹고 너무 맛있어서 재방문했습니다! 역시 너무 맛있네요~ 대창돌솥파스타도 너무 맛있고, 대창이 많이 들어있어서 좋았습니다. 특히 알배추숯불갈비샐러드는 꼭 드셔보셨으면 좋겠어요! 소개팅이나 데이트하기에도 분위기가 좋을 것 같아요~^^"
2026-06-21,5,그라운드 시소에서 전시 관람하고 방문했어요! 걸어오는 길이 푸릇푸릇해서 기분이 살짝 좋아졌는데 음식을 먹고 나니까 완~전 행복해졌어요🥰 너무 맛있고 양도 은근 많아서 든든하게 배 채우고 가요! 다음에 이태원쪽 놀러오면 또 방문해서 다른 메뉴도 먹어보고 싶어요!
2026-06-20,5,"이태원에서 피자랑 파스타가 먹고 싶어서 방문한 이태리국시! 저희는 곱창파스타랑 피자를 주문했어요. 곱창파스타는 뚝배기에 담겨 나와서 끝까지 따뜻하게 먹을 수 있었고, 매콤한 맛이 있어서 느끼하지 않게 즐기기 좋았어요. 곱창도 파스타랑 잘 어울려서 색다른 메뉴를 찾는 분들께 추천하고 싶어요. 피자는 일반적인 두꺼운 도우가 아니라, 또띠아처럼 얇은 도우에 나와서 가볍게 먹기 좋았어요. 쌈 싸 먹는 느낌으로 즐길 수 있어서 재미있고 부담스럽지 않았습니다. 이태원에 갈 일이 있다면 한 번 들러서 먹어볼 만한 파스타 맛집이에요. 매콤한 파스타 좋아하시는 분들께 특히 추천합니다!"
2026-06-25,5,맛집 찾아서 왔는데 너무 너무 맛있어요. 곱창 파스타 잡내 하나 안 나고 칼칼하니 뚝배기에 지글지글 끓어 나오는데 정말 인생 맛집이네요. 샐러드도 맛있고 와인이랑 잘 어울려요. 갈비 파스타는 매운 소스를 빼고 따로 아이와 먹었는데 하나도 안 남기고 맛있게 잘 먹었습니다
2026-07-05,5,한남동 이태리국시 다녀왔어요! 맛있는 메뉴가 많아 고민하다가 대창 파스타를 먹었는데 진짜 신의 한 수였습니다 자칫 느끼할 수도 있는 조합인데도 소스가 중심을 딱 잡아줘서 완전 순삭했습니다. 한남동 맛집 인정입니다! 대창 파스타는 꼭 드셔보세요!
2026-07-04,5,대창파스타랑 갈비리조또 먹었는데 갈비 리조또가 진짜 맛있어요 !! 고기도 맛있구 분위기도 좋아서 데이트나 친목 모임으로 방문하기 좋을 거 같아요 🤍🤍 두번째 방문인데 첫번째때보다 더 좋네요 !!!! 양도 많은 두명인데 배부르게목었읍니다 !! 추천추천 🩶🩶
2026-07-22,5,전복도 전복인데 고기가 진짜 맛있어요 고기 리뷰는 많이 없어서 걱정했는데 하나도 안질기고 간도 딱맞고 제사랑 메쉬포테이토도 조합이 짱 ♥
2026-07-11,5,오랜만에 만난 고향 친구들과 함께 방문했습니다. 대창 파스타랑 뇨끼는 처음 접해봤는데 한입 먹어보고 너무 놀랬습니다! 그리고 리소토도 고소하고 다 먹을 때까지 뜨끈하게 맛있게 먹었습니다. 그리고 오렌지자몽에이드 진짜 추천합니다. 자극적이지 않게 적당히 달고 맛있는 어른의 음료였어요// 반했습니다. 다음에 한남동 쪽을 방문하게 된다면 또 오고 싶어요~
2026-07-23,5,음식이 다 너무 감칠맛나고 맛있었어요!! 갈비 양배추도 너무 맛있고 곱창 파스타는 처음 먹어보는데 계속 들어가는게 중독성 최고에여!! 빠에야도 너무 맛있어요ㅜ
2026-05-31,4,재료들 간 하나하나 섬세하게 되어있고 각 디쉬의 개성이 선명해서 같미 먹은 모든 분들이 만족했어요 빠에야 갑오징어 향과 색과 결까지 완벽했어요 대창도 깨끗하게 손질된데다 고추장과 파스타의 조합도 의외성이있어 좋았습니다 잘먹었습니다
